§	/yyybs/
亊	/jfln/	/si6/
事	/jlln/	/si6/
二	/mm/	/yi6/
亍	/mmn/xmmn/	/chuk1/
于	/md/	/yue1/
亏	/mmvs/xmmvs/	/kwai1/
亐	/mjs/	/yue1/
云	/mmi/	/wan0/
互	/mvnm/	/wu6/
亓	/mml/	/kei0/
五	/mdm/	/ng5/
井	/tt/	/jeng9/
亖	/mmmm/	/sei4/
亗	/umm/	/sui4/
亘	/mam/	/gang9/
亙	/mbm/	/gang9/
亚	/mtc/	/a4/
些	/ypmm/	/se1/
亜	/mllm/xmllm/	/a4/
亝	/iiim/xiiim/	/chai0/
亞	/mllm/	/a4/
亟	/mem/nem/	/gik1/
亠	/im/xim/	/tau0/
亡	/yv/	/mong0/
亢	/yhn/	/kong4/
亣	/yll/	/daai6/
交	/yck/	/gaau1/
亥	/yvho/	/hoi6/
亦	/ylnc/	/yik6/
产	/yth/	/chaan9/
亨	/yrnn/	/hang1/
亩	/yw/	/mau5/
亪	/ycmo/	/bin4/
享	/yrnd/	/heung9/
京	/yrf/	/ging1/
亭	/xyrbn/yrbn/	/ting0/
亮	/yrbn/yrbu/	/leung6/
亯	/yra/	/hang1/
亰	/yaf/	/ging1/
亱	/yoam/	/ye6/
亲	/ytd/	/chan1/
亳	/yrbp/	/bok4/
亴	/xxyrb/yrbn/	/yau6/
亵	/yqiv/	/sit4/
亶	/ywrm/	/taan9/
亷	/yhxc/	/lim0/
亸	/ydcwj/	/do9/
亹	/yhbm/	/mei5/
人	/o/	/yan0/
亻	/hl/	/yan0/
亼	/om/xxxom/	/jaap6/
亽	/oi/xxoi/	/jaap6/
亾	/vo/xvo/	/mou0/
亿	/on/xon/	/yik1/
什	/oj/	/sam6/
仁	/omm/	/yan0/
仂	/oks/	/lak6/
仃	/omn/	/ding1/
仄	/mo/	/jak1/
仅	/oe/	/gan9/
仆	/oy/	/puk1/buk6/buk1/
仇	/okn/	/sau0/
仈	/oc/	/baat4/
仉	/ohn/	/jeung9/
今	/oin/	/gam1/
介	/oll/	/gaai4/
仌	/oo/xoo/	/bing1/
仍	/onhs/	/ying0/
从	/oo/	/chung0/
仏	/oi/xoi/	/fat6/
仐	/oj/xxoj/	/tou1/
